x_phys,y_psych,n,r
sleep_efficiency,MOOD,3412,0.05726694791770772
sleep_efficiency,t_fatig,3412,0.011842070454116753
sleep_efficiency,t_deprss,3411,0.03290661868103145
percent_active,MOOD,20954,0.08316277798227668
percent_active,t_fatig,20953,-0.06672547268157486
percent_active,t_deprss,20928,-0.04251013173807291
total_steps,MOOD,20620,0.0592930610526272
total_steps,t_fatig,20619,0.009389795540334806
total_steps,t_deprss,20597,-0.03200683149221679
mean_hr,MOOD,20954,0.03955779729273969
mean_hr,t_fatig,20953,-0.01902262409884655
mean_hr,t_deprss,20928,-0.06595788076106925
sleep_duration,MOOD,3412,0.07086376564720605
sleep_duration,t_fatig,3412,-0.03376459333525349
sleep_duration,t_deprss,3411,-0.06096748431553615
